id,gender,height,religion,caste,mother_tongue,profession,location,country,age_of_marriage
148,male,"5'3""",Hindu, Thakur,Hindi,Non IT Engineer (Others),Ranchi, India,30
149,male,"5'10""",Hindu, Thakur,Hindi,Artist (Others),Indore, India,30
150,male,"5'9""",Jain, Shwetamber,Marwari,Accounting Professional (Others),Delhi, India,34
151,male,"5'8""",Hindu, Vaishnav,Gujarati,HR Professional,Vadodara, India,30
152,female,"4'11""",Hindu, Brahmin,Marathi,Software Consultant,Vadodara, India,29
153,female,"5'1""",,others,Telugu,Not working,Tadepalligudem, India,27
154,male,"5'11""",Hindu, Arya Vysya,Telugu,Entrepreneurs / Business ,Visakhapatnam, India,30
155,male,"5'5""",Hindu, OBC - Barber/Naayee,Hindi,Team Member / Staff,Aurangabad, India,26
156,female,"5'1""",Hindu, Sindhi-Sakkhar,Sindhi,Entrepreneurs / Business ,Mumbai, India,30
157,female,"4'5""",Hindu, Patel,Hindi,Not working,Bhopal, India,29
158,female,"5'3""",,others,Bengali,Mechanical / Production Engineer,Midnapore, India,20
159,male,"5'3""",,others,Marathi,,,,25
160,male,"6'0""",Hindu, Brahmin,Bengali,Medical / Healthcare Professional (Others),Kolkata, India,30
161,female,,,,,,, India,35
162,male,"6'0""",Hindu, OBC - Barber/Naayee,Assamese,Not working,Dibrugarh, India,26
163,female,"5'0""",Hindu, Kaibarta,Odia,Not working,Panikoili, India,28
164,male,"5'11""",Sikh, Gursikh,Punjabi,Consultant / Supervisor / Team Leads,Ahmedabad, India,33
165,female,"5'3""",,others,Telugu,,Hyderabad, India,32
166,male,,,others,Telugu,Entrepreneurs / Business ,Karimnagar, India,32
167,male,"5'5""",Hindu, Brahmin,Marathi,Software Professional,Pune, India,31
168,female,"5'3""",Sikh, Gursikh,Punjabi,Beautician,Ludhiana, India,30
169,female,"5'4""",Hindu, Baishya,Bengali,Chartered Accountant,Bengaluru / Bangalore, India,26
170,male,"4'6""",Hindu, Baishya,Assamese,Not Specified,Albertville- AL, USA,28
171,male,"5'3""",Hindu, Bhandari,Gujarati,Not Specified,Mumbai, India,33
172,female,"5'1""",Hindu, OBC - Barber/Naayee,Marwari,Accounting Professional (Others),Mumbai, India,27
173,male,"5'4""",Hindu, Scheduled Caste (SC),Hindi,Non IT Engineer (Others),Chandigarh, India,32
174,male,"6'0""",Hindu, Bhatia,Punjabi,Entrepreneurs / Business ,Amritsar, India,28
175,female,"5'3""",Hindu, Sindhi-Sakkhar,Sindhi,Software Professional (Others),Pune, India,29
176,male,"5'6""",,,Telugu,,Suryapet, India,24
177,male,"5'10""",Hindu, Balija,Telugu,Teacher,Adoni, India,29
178,female,"5'3""",Hindu, Brahmin,Hindi,Team Member / Staff,Jamshedpur, India,31
179,female,"4'11""",Hindu, Scheduled Caste (SC),Punjabi,Teacher,Rupnagar, India,34
180,male,"5'5""",Hindu, Rajput - Lodhi,Hindi,Agent / Broker / Trader / Contractor,Unnao, India,28
181,female,"5'5""",,others,Tamil,Nurse,Chennai, India,24
182,male,"5'11""",Hindu, Sindhi-Sakkhar,Sindhi,Software Professional,Mumbai, India,29
183,female,"5'5""",Hindu, Balija,Telugu,Accounting Professional (Others),Anantapur, India,26
184,female,"5'4""",Hindu, Baidya,Bengali,Science Professional (Others),Toronto, Canada,29
185,female,"5'1""",,others,Tamil,,Theni, India,30
186,male,"5'5""",,,,Accounting Professional (Others),Gujarat, India,28
187,female,"5'1""",Hindu, Saini,Hindi,Teacher,Faridabad, India,27
188,male,,,others,Kannada,Not working,Hubbali-Dharwad, India,26
189,female,"5'4""",Christian, Roman Catholic,Konkani,HR Professional,Mangaluru / Mangalore, India,31
190,female,"4'6""",Hindu, Agri,Marathi,Logistics and Travel Professional,Maharashtra, India,29
191,male,"5'6""",Hindu, Vaishnav,Gujarati,Lawyer,Mumbai, India,30
192,male,"5'7""",,others,Bengali,Not Specified,Kharagpur, India,27
193,male,"5'6""",Hindu, Baniya,Hindi,Software Consultant,Mumbai, India,35
194,female,"5'6""",Hindu, Thakur,Hindi,Not working,Kanpur, India,29
195,female,"5'8""",Hindu, Rajput - Lodhi,Hindi,Managers and Senior Executives,Bengaluru / Bangalore, India,30
196,male,"5'0""",Hindu, Thakur,Hindi,Hardware & Networking professional,Sitapur, India,29
197,female,"5'6""",,others,,Teacher,Kozhikode, India,26
198,male,"5'9""",Hindu, Arora,Punjabi,Entrepreneurs / Business ,Faridabad, India,36
199,male,"5'8""",Hindu, Brahmin,Odia,Medical / Healthcare Professional (Others),Puri, India,32
200,female,"5'2""",Hindu, Bhatia,Sindhi,Marketing Professional,Dubai, United Arab Emirates,29
201,female,"5'3""",Hindu, Valmiki,Hindi,Not working,Delhi-NCR, India,28
202,female,"5'1""",Hindu, Brahmin,Telugu,Not Specified,Visakhapatnam, India,30
203,male,"5'6""",Hindu, Lingayath,Kannada,Finance Professional,Bengaluru / Bangalore, India,32
204,female,"5'1""",,others,Bengali,Not working,Kharagpur, India,25
205,female,"5'7""",Sikh, Ramdasia,Punjabi,Teacher,Bathinda, India,31
206,female,"4'11""",Hindu, Arya Vysya,Assamese,Not Specified,Delhi, India,25
207,female,"5'1""",Jain, Shwetamber,Gujarati,Marketing Professional,Mumbai, India,34
208,male,"5'7""",Hindu, Valmiki,Hindi,Marketing Professional,Delhi, India,28
209,female,"5'4""",Sikh, Khatri,Punjabi,Banking Professional,Delhi, India,28
210,female,"5'6""",Hindu, Scheduled Caste (SC),Marathi,Lawyer,Mumbai, India,34
211,female,"5'2""",Hindu, Arora,Punjabi,Fashion Designer,Faridabad, India,33
212,male,"5'11""",,,,,Mumbai, India,29
213,female,"5'2""",Muslim, Memon,Hindi,Not working,Hyderabad, India,26
214,male,"6'0""",Hindu, Brahmin,Bengali,Hardware & Networking professional,Other, Netherlands,33
215,female,"5'0""",Hindu, Kayastha,Bengali,Web / UX Designers,Bengaluru / Bangalore, India,34
216,female,"5'6""",,others,Malayalam,Admin Professional,Thiruvananthapuram, India,30
217,male,"5'8""",Hindu, Brahmin,Marwari,Managers and Senior Executives,Mumbai, India,30
218,male,"5'8""",,,,,Palakkad, India,24
219,male,"5'0""",,others,Marathi,Agent / Broker / Trader / Contractor,Nandurbar, India,29
220,male,"5'6""",Hindu, Brahmin,Bengali,Software Consultant,Bengaluru / Bangalore, India,30
221,female,"5'3""",Hindu, Baishnab,Assamese,Marketing Professional,Bengaluru / Bangalore, India,27
222,female,"5'4""",Hindu, Arya Vysya,Telugu,Non IT Engineer (Others),Bengaluru / Bangalore, India,25
223,male,,,others,Hindi,,, India,28
224,female,"5'3""",Sikh, Kshatriya,Punjabi,Pharmacist,Ludhiana, India,29
225,female,"5'8""",Hindu, Agarwal,Punjabi,Marketing Professional,Melbourne, Australia,29
226,male,"5'0""",,,Kannada,,, India,28
227,male,"5'4""",,others,Tamil,,Chennai, India,31
228,male,"5'7""",Hindu, Goud,Telugu,Marketing Professional,Karimnagar, India,29
229,female,"5'0""",Hindu, Baniya,Hindi,Entrepreneurs / Business ,Delhi, India,35
230,male,"5'8""",Hindu, Scheduled Caste (SC),Kannada,Managers and Senior Executives,Bengaluru / Bangalore, India,34
