Resistansi,Induktansi,Daya Aktif,Daya Reaktif,Tegangan Terminal,Arus Stator,Fasa Arus,Tegangan Fasa,Faktor Daya
645,"3,225","13,61","22,08","135,4","0,1106","58,36","78,17","0,5246"
650,"3,25","13,31","22,35","136,9","0,1097","59,23","79,04","0,5116"
655,"3,275","13,30","21,14","132,4","0,1089","57,82","76,44","0,5325"
660,"3,3","13,16","21,03","132,6","0,108","57,96","76,56","0,5305"
665,"3,325","13,15","20,76","132,2","0,1073","57,65","76,33","0,5351"
670,"3,35","13,07","20,67","132,6","0,1065","57,7","76,56","0,5344"
675,"3,375","12,98","20,47","132,4","0,1057","57,63","76,44","0,5354"
680,"3,4","12,51","20,57","132,5","0,1049","58,68","76,50","0,5198"
685,"3,425","12,85","21,22","137,6","0,1041","58,8","79,44","0,518"
690,"3,45","12,61","20,08","132,4","0,1034","57,88","76,44","0,5317"
695,"3,475","12,63","21,23",139,"0,1026","59,24","80,25","0,5115"
700,"3,5","12,43","19,73","132,1","0,1019","57,79","76,27","0,533"
705,"3,525","12,09","20,55",136,"0,1012","59,53","78,52","0,522"
710,"3,55","12,19","19,54","132,3","0,1005","58,03","76,38","0,5295"
715,"3,575","12,22","19,30","132,2","0,09975","57,66","76,33","0,5349"
720,"3,6","12,14","19,29","132,8","0,09906","57,82","76,67","0,5326"
725,"3,625","12,08","19,07","132,5","0,09837","57,66","76,50","0,535"
730,"3,65","12,00","18,90","132,3","0,09771","57,6","76,38","0,5358"
735,"3,675","11,66","18,93","132,3","0,09704","58,36","76,38","0,5245"
740,"3,7","11,80","18,89","133,4","0,09639","58,02","77,02","0,5297"
745,"3,725","11,72","18,55","132,3","0,09575","57,71","76,38","0,5342"
750,"3,75","11,65","18,46","132,5","0,09511","57,74","76,50","0,5337"
755,"3,775","11,54","18,31","132,3","0,09447","57,78","76,38","0,5332"
760,"3,8","11,51","18,17","132,3","0,09385","57,64","76,38","0,5352"
765,"3,825","11,42","18,04","132,2","0,09324","57,65","76,33","0,5351"
770,"3,85","11,34","18,10","133,1","0,09264","57,92","76,85","0,5312"
775,"3,875","11,31","17,79","132,2","0,09205","57,55","76,33","0,5366"
780,"3,9","11,20","17,67","132,1","0,09145","57,63","76,27","0,5354"
785,"3,925","11,13","17,66","132,6","0,09087","57,78","76,56","0,5332"
790,"3,95","11,07","17,48","132,3","0,09028","57,66","76,38","0,535"
795,"3,975","11,01","17,40","132,5","0,08973","57,68","76,50","0,5346"
800,4,"10,93","17,34","132,7","0,08917","57,76","76,61","0,5335"
805,"4,025","10,75","17,21","132,2","0,08862","58,01","76,33","0,5298"
